ID,artworkName,artistName,Time,Description,Size (in.),Size_cm,w (cm),h/cm,w/in,h/in,,,,,,,,,,,,,,,
713,Dada Gauguin,Max Ernst,1920,N/A,,40 x 30.3,40,30.3,15.7480315,11.92913386,,,,,,,,,,,,,,,
714,Tristan Tzara,Man Ray,1921,"Man Ray was among the instigators of Dada in New York in the late 1910s. His subject is the Romanian-born writer (1896-1963) who helped found Zurich Dada and achieved notoriety for composing verse from cut up and rearranged bits of newspaper and who guided Man Ray through Paris upon his arrival in 1921. Shot in Man Ray's room on the rue de la Condamine (next door to his friend Marcel Duchamp), the photograph shows one of his violent sculpture-objects (such as the pistol-with-magnet entitled Compass of two years earlier) dangling over the poet, who coolly ignores his doubly assured destruction with the wave of a cigarette. This picture was also sandwich printed by the artist with another image featuring a giant topless female model looming imperiously over the morbid proceedings-a transitional moment between Dada's wicked humor and the woman-obsessed fever dreams of the emerging Surrealists.",4 1/8 x 3 7/16 in.,8.7 x 10.6,8.73125,10.6045,3.4375,4.175,,,,,,,,,,,,,,,
715,Optophone I,Francis Picabia,1922,"During his early career, Francis Picabia painted in the Impressionist style and exhibited at the Paris salons. However, from 1908 on, elements of Fauvism and Neo-Impressionism, as well as Cubism and other modes of abstraction, would appear in his work; he later joined the Puteaux Group, of which Guillaume Apollinaire, Robert Delaunay, and Marcel Duchamp were members. The year 1915 marked the beginning of Picabia’s “machinist” period, during which he produced works inspired by industrial developments, such as Machine turn quickly (1916–18) and his satirical drawing Universal Prostitution(1916), which was intended to take a jab at bourgeois sexuality. While in Barcelona in 1917, Picabia launched a Dada periodical titled 391 after Alfred Stieglitz’s periodical 291, though he eventually denounced Dada and returned to figurative painting. In the ’40s, his practice took a surprising turn as he began to paint nudes in the style of French glamour magazines, as in Femmes au bull-dog (1942). Picabia was a close friend of the famous art collector and writer Gertrude Stein.",,60 x 72,60,72,23.62204724,28.34645669,,,,,,,,,,,,,,,
716,Ubu Imperator,Max Ernst,1923,"Like many of Ernst's paintings during his Paris period (1922-1941), Ubu Imperator resembles a collage in painted form. The artist's knowledge of theories by renowned psychologist Freud, familiarity with myth and extreme wit are reflected in this early painting, which is now considered proto-Surrealist due to its strange juxtapositions.In Ubu Imperator, an anthropomorphic top dances in a vast, empty landscape. Such works captured early on the surrealist notion of estrangement and commitment to the subconscious, but also they seem surprisingly contemporary. The red Ubu Imperator marked the entry of Ernst in the articulated stage of surrealism by his use of a literary narrative that was sometimes personal, sometimes political. In this seminal work a spinning top, a red carcass with iron reinforcement, and human hands express an astonishing image of the Ubu Father, a grotesque symbol of authority invented by Alfred Jarry. Other paintings suggest Ernst's impressions of ancient Buddhist temples (à la Angkor Wat) as inspired from his trip to Asia following the breakup of his famous ménage à trois with Gala and Paul Eluard. This structure and thickly overgrown plants appear in many of his engravings and grattage oil paintings.",,81 x 100 ,81,100,31.88976378,39.37007874,,,,,,,,,,,,,,,
717,The Large Glass (Le Grand Verre),Marcel Duchamp,1923,"The Bride Stripped Bare by Her Bachelors, Even (La mariée mise à nu par ses célibataires, même), most often called The Large Glass (Le Grand Verre), is an artwork by Marcel Duchamp over 9 feet (2.7 m) tall, and freestanding. Duchamp worked on the piece from 1915 to 1923, creating two panes of glass with materials such as lead foil, fuse wire, and dust. It combines chance procedures, plotted perspective studies, and laborious craftsmanship. Duchamp's ideas for the Glass began in 1913, and he made numerous notes and studies, as well as preliminary works for the piece. The notes reflect the creation of unique rules of physics, and myth which describes the work.","109 1/4"" x 69 1/4""",175.9 x 277.5,175.895,277.495,69.25,109.25,,,,,,,,,,,,,,,
718,Glass tears,Man Ray,1932,"Looking almost like a film still, this cropped photograph demonstrates Man Ray's interest in cinematic narrative. The model's eyes and mascara-coated lashes are looking upward, invoking the viewers to wonder where she's looking and what is the source of her distress. The piece was created soon after the artist's break-up with his assistant and lover, Lee Miller. Ray created multiple works in an attempt to ""break her up"" as a revenge on a lover who left him (similar to Indestructible Object).",,29.8 x 22.8,29.8,22.8,11.73228346,8.976377953,,,,,,,,,,,,,,,
719,The Barbarians,Max Ernst,1937,"In this small painting, a gigantic, malevolent-looking bird couple marches forward with seemingly mile-long strides. The dark female leads the way as her male companion turns to look at the strange animal-perhaps their offspring-clinging to his left arm. In the far distance, a tiny woman holds onto some undefined winged being. The strange patterns on the bodies of the main figures, which evoke fossils or geological formations, are the result of grattage (scraping). In this technique, the artist coated the canvas, or in this case, a piece of cardboard, with layers of paint and while it was still wet pressed it against objects that left imprints on the surface. Afterward, he used a brush to touch up the forms thus created, or scraped away layers of pigment.",9 1/2 x 13 in.,33 x 24.1,33.02,24.13,13,9.5,,,,,,,,,,,,,,,
720,Pinc,Kurt Schwitters,1947,"Schwitters was associated with the ""anti-art"" Dada movement in Germany in the 1920s, though always maintained a sense of independence, christening his own work – which ranged from painting and collage to installation and writing – Merz. He derived this term from the German word Kommerz, or commerce; fittingly, he incorporated detritus from the commercial world – waste materials he found on the streets of Hanover – into his meticulously arranged Merzbilder, or Merz Pictures. In this and other late works created while he was living in exile in England, Schwitters incorporated bits of comic strips sent to him by a friend in the United States.",7 1/4 x 6 in.,15.2 x 18.4,15.24,18.415,6,7.25,,,,,,,,,,,,,,,
801,Painterly Architectonic,Lyubov Popova,1917,"In 1919 Popova described painting as a ""construction,"" the building blocks of which were color and line. In this work, brightly colored, irregularly shaped planes are layered against a neutral background. The curved bottom edge of a gray shape emerging from beneath a red triangle and a white trapezoid suggests three-dimensionality, while the vibrant colors and jutting edges that seem to extend beyond the frame evoke energetic movement. Painterly Architectonic is one of a series of works Popova created between 1915 and 1919 in response to Kazimir Malevich's Suprematist paintings. Her definition of painting as a constructive process also recalls her engagement with the materially based abstraction of fellow Russian Vladimir Tatlin, in whose teaching studio she worked.","31 1/2 x 38 5/8""",98.2 x 80,98.2345,80.01,38.675,31.5,,,,,,,,,,,,,,,
802,Composition,Aleksandr Rodchenko,1918,N/A,"13 x 6 3/8""",16.2 x 33,16.1925,33.02,6.375,13,,,,,,,,,,,,,,,
803,Proun Vrashchenia,El Lissitzky,1919,"In 1920, Lissitzky announced a new type of artwork that he called a ""Proun""—an acronym of the Russian phrase meaning ""project for the affirmation of the new."" Lissitzky and his contemporaries were working in Russia just three years after its revolution,when a civil war still raged for control of the country. For them, the new was a pressing concern. Lissitzky's term ""project"" came from the language not of fine art but of architecture, and betrays his training in that profession in Germany in the years before the revolution. Returning to Russia, he joined the faculty of the art school in Vitebsk, a provincial town, on the fringes of the war, where the Suprematist Kazimir Malevich was already teaching. Together they pursued a new art for a new, post-revolutionary world.",,34.5 x 49.7,49.7,34.5,13.5,19.5,,,,,,,,,,,,,,,
804,"Flight of Forms

",Jean Pougny (Ivan Puni),1919,N/A,"51 1/8 x 51 1/2"" ",130.8 x 129.7 ,129.7,130.8,51 1/8,51 1/2,,,,,,,,,,,,,,,
805,Beat the Whites with the Red Wedge,El Lisitskiy,1920,"Beat the Whites with the Red Wedge is one of Lissitzky's earliest attempts at propagandistic art. He produced this politically charged work in support of the Red Army shortly after the Bolsheviks had waged their revolution in 1917. The red wedge symbolized the revolutionaries, who were penetrating the anti-Communist White Army. Here Lissitzky uses his signature coded color combination of red, white and black, which reinforces the message indicated by the work's title. Colors and shapes take on directly symbolic significance. For example, the smooth, curvilinear walls of the white circle are pierced by the sharp point of the red triangle: the Red Army has pierced the defenses of the White Army. Dramatic color contrasts also create confusion regarding space-which area is positive? Which is negative? Meanwhile, small geometric forms in the limited color scheme float like tiny projectiles through the space along with text. Here, basic forms combine with actual text: painting and typography are fused. This work is an important precursor to Lissitzky's Prouns, when Suprematist art moved onto a three-dimensional visual plain.",23*19,58.4 x 48.3,48.26,58.42,19,23,,,,,,,,,,,,,,,
806,Proun 4 B,El Lisitskiy,1929,"El Lissitzky expressed his political concerns in his art by embracing a formalist trend that led him to abstraction. In his Proun paintings, which he created as a metaphor of the changes society was undergoing, the artist harmoniously combined the flat surface advocated by the Suprematists with the laws of Constructivist architecture. In these compositions, which are notable for the precision of their forms, their balance and their clarity, he uses architectural devices but strips them of their architectural function and gives them a new aesthetic value. Furthermore, in his Prounpaintings Lissitzky found a way of reconciling Tatlin’s utilitarian ideas with Malevich’s Utopian aesthetic and succeeded in developing Suprematism in space.",,55.5 x 70,55.5,70,21.8503937,27.55905512,,,,,,,,,,,,,,,
807,The Globetrotter from Figurines,El Lisitskiy,1920,N/A,"14 3/16 x 10 1/4""",26 x 36,26.035,36.03625,10.25,14.1875,,,,,,,,,,,,,,,
808,Proun 1 D,El Lisitskiy,1920,"Lithograph from a portfolio of eleven lithographs with unique manuscript manifesto in Russian and German, colophon, and front and back covers of gouache, ink and pencil","8 7/16 x 10 9/16""",26.8 x 21.5,26.82875,21.52015,10.5625,8.4725,,,,,,,,,,,,,,,
809,Old Man,El Lisitskiy,1920,N/A,"10 1/8 x 10 5/8""",25.7 x 27.1,27.1145,25.7175,10.675,10.125,,,,,,,,,,,,,,,
810,"Pure Red Color, Pure Yellow Color, Pure Blue Color",Aleksandr Rodchenko,1921,"Traditionally, color is used in art to describe the appearance of a particular object, or else to lend associations (the blue traditionally used to depict the Virgin Mary's robes in Renaissance paintings carried symbolic meanings). But Rodchenko's triptych focuses only on the material character of color, and it is considered the first artwork to do so. Here, red, blue, and yellow are used neither to describe an object nor to elicit certain associations; instead they are presented almost as a palette from which the artist can work. This is typical of the Constructivist attitude to materials, which was focused not on transforming them into art but on utilizing their properties in the most honest and effective ways possible. The triptych might be read as a rejection of the mysticism that seemed to tinge some work by Rodchenko's Suprematist contemporary, Kazimir Malevich. Rodchenko wrote of it, in 1921, ""I reduced painting to its logical conclusion and exhibited three canvases: red, blue, yellow. I affirmed: this is the end of painting. These are the primary colors. Every plane is a discrete plane and there will be no more representation.""",N/A,62.5 x 24 ,52.5,62.5,20.66929134,24.60629921,,,,,,,,,,,,,,,
811,Untitled (Twenty) (Twintig),Lajos Kassák,1921,N/A,,51.6 x 40.4,40.386,51.562,15.9,20.3,,,,,,,,,,,,,,,
812,Construction,Gustav Klutsis,1921,N/A,,62.7 x 49.3 ,62.7,49.3,,,,,,,,,,,,,,,,,
813,Proun (Study for Proun S.K.) Construction,El Lissitzky,1922,"Proun (Entwurf zu Proun S.K.) is exemplary of Lissitzky’s unique enterprise. One of two studies for a larger oil painting, this composition uses different mediums to suggest a range of properties for the otherwise straightforward geometric forms, which become dynamic through their suspension within a precariously balanced visual field. Like all of the Prouns, this work is a highly refined object. Thus, while they parallel certain tenets of the Russian Constructivists, who used a similarly reductive visual vocabulary and sought to merge art and life through mass production and industry, Lissitzky’s Prouns lack the rough-hewn experimental nature of Contructivist objects, remaining more on the side of aesthetics than utility.

",8 7/16 x 11 3/4 inches,29.7 x 24.1,29.7,24.1,11.69291339,9.488188976,,,,,,,,,,,,,,,
814,Composition A XXI,Theo van Doesburg,1923,N/A,,33.5 x 41 ,85.09,104.14,33.5,41,,,,,,,,,,,,,,,
815,Textile Design,Lyubov Popova,1924,"Popova first emerged as an Impressionist painter, but she was later drawn into Constructivist and Suprematist circles. By 1921 she had abandoned painting to pursue the Constructivist ambition to leave behind traditional art forms and to make work for mass production. She concentrated on textile design, such as in this work, Popova uses repeating geometric patterns which were thought more appropriate to modern life and mass production than the floral designs that had previously been popular for such textiles. The intersecting circles and spacing of the stripes add tension and movement within the pattern, while also visually creating the effect of different textures. Popova's prominence within Constructivism is indicative of the significant role played by women in driving the movement's concerns; other avant-garde movements of the period were dominated by men.",,19.1 x 23.4,19.1,23.4,7.519685039,9.212598425,,,,,,,,,,,,,,,
816,Proun 99,El Lissitzky,1924,"El Lissitzky was a designer, typographer, architect, and photographer affiliated with the Soviet Constructivist and Suprematist movements. He studied and worked as an architect and engineer in Germany and Russia before receiving an invitation from Marc Chagall in 1919 to teach at the Vitebsk School of Art in Belarus. There he encountered painter Kasimir Malevich, the recent founder of the Suprematist movement, which strove to create a style of purely non-objective painting comprised of a language of geometric forms. In 1920 Lissitzky coined the term “Proun”—an acronym for the Russian words meaning “project for the affirmation of the new”—to refer to a series of abstract works that combined the Suprematist lexicon of geometric, monochromatic forms with tools of architectural rendering. In Proun 99, the large composite object that dominates the upper left quadrant could either be a cube or a recessed meeting of three planes. The gridded triangle at the bottom appears to create a sense of depth, yet the elements above it seem to exist in their own, gravity-less space. Through constructing a complex dimensional space that hovers between the coherent and the impossible, Lissitzky strives to evoke utopia—literally “no place”—and to achieve the task of inventing a new art for a post-revolutionary Soviet society.",,99.1 x 129,251.714,327.66,99.1,129,,,,,,,,,,,,,,,
817,"A II (Construction A II)

",László Moholy-Nagy,1924,"László Moholy-Nagy painted A II (Construction A II) soon after joining the faculty of the Bauhaus school of art and design in Weimar, Germany. As if constructed around a mathematical formula, the canvas is composed of two similar bodies of seemingly intersecting planes and circles with a smaller structure hovering below a larger one, both crossing through a white plane. Varying in degrees of perceived transparency and color intensity, these shapes appear to overlap, forming an architectural construction in space.",45 5/8 x 53 5/8 inches,136.5 x 115.8,115.8,136.5,45 5/8,53 5/8,,,,,,,,,,,,,,,
818,Xanti Schawinsky on a Bauhaus balcony,Laszlo Moholy-Nagy,1928,N/A,20 x 24 in,50.8 x 61,50.8,60.96,20,24,,,,,,,,,,,,,,,
819,Schematic Composition,Sophie Taeuber-Arp,1933,N/A,"35 3/8 x 49 1/4""",125 x 89.6,125,89.6,49.21259843,35.27559055,,,,,,,,,,,,,,,
820,"New York, Number 18",Charles Biederman,1938,"In the early years of his career as a painter, Charles Biederman studied Cézanne, Post-Impressionism, and Cubism before finally turning to total abstraction. His time in New York (1934-40) and his first trip to Paris in 1936 definitively shaped his art as he came into contact with the work of many European modernists, including Arp, Brancusi, Léger, Miró, and Mondrian, Pevsner, and Vantongerloo. He was particularly interested in Constructivism (with its use of industrial materials) and De Stijl (with its rigid geometry and primary color schemes), two art movements that produced geometric, nonobjective images. By 1937, Biederman's work was becoming more sculptural, and subsequent pieces, such as New York, Number 18 of 1938, were rendered as shallow, painted reliefs. These wall-hung panels-often incorporating wood and plastic materials-could be seen from various angles, and natural light and cast shadows enhanced the visual effect. Here, the central portion of the rectangular box has a recessed center, cut out to form a number of right angles; translucent plastic sheets set into the hollow add a shock of yellow to the otherwise white scheme.",30 3/4 in. × 21 7/8 in. × 4 in.,55.6 x 78.1,55.5625,78.105,21.875,30.75,,,,,,,,,,,,,,,
901,The Elephant Celebes,Max Ernst,1921,"The central focus of the painting is a giant mechanical elephant. It is round and has a trunk-like hose protruding from it. The figure's round body was modeled after a photograph in an anthropological journal of a clay corn bin from a southern Sudanese culture, the Konkombwa. Celebes suggests ""ritual and totemic sculpture of African origin"", evidenced by the totem-like pole at right and the figure's bull horns.The painting uniquely combines found imagery and non-Western visual elements.",49.4 in × 42.5 in,107.9 x 125.4,107.9,125.4,42.48031496,49.37007874,,,,,,,,,,,,,,,
902,Harlequin's Carnival,Joan Miró,1924,"Miró created elaborate, fantastical spaces in his paintings that are an excellent example of Surrealism in their reliance on dream-like imagery and their use of biomorphism. Biomorphic shapes are those that resemble organic beings but that are hard to identify as any specific thing; the shapes seem to self-generate, morph, and dance on the canvas. While there is the suggestion of a believable three-dimensional space in Harlequin's Carnival, the playful shapes are arranged with an all-over quality that is common to many of Miró's works during his Surrealist period, and that would eventually lead him to further abstraction. Miró was especially known for his use of automatic writing techniques in the creation of his works, particularly doodling or automatic drawing, which is how he began many of his canvases. He is best known for his works such as this that depict chaotic yet lighthearted interior scenes, taking his influence from Dutch 17th-century interiors such as those by Jan Steen.",,90.5 x 66,90.5,66,25.98425197,10.23002046,,,,,,,,,,,,,,,
903,The Birth of the Worlad,Joan Miró,1925,"Joan Miró said that The Birth of the World depicts “a sort of genesis”—the amorphous beginnings of life. To make this work, Miró poured, brushed, and flung paint on an unevenly primed canvas so that the paint soaked in some areas and rested on top in others. Atop this relatively uncontrolled application of paint, he added lines and shapes he had previously planned in studies. The bird or kite, shooting star, balloon, and figure with white head may all seem somehow familiar, yet their association is illogical.

Describing his method, Miró said, “Rather than setting out to paint something I began painting and as I paint the picture begins to assert itself, or suggest itself under my brush.… The first stage is free, unconscious.”","8' 2 3/4"" x 6' 6 3/4""
",200 x 250.8 ,200,250.8,78.74015748,98.74015748,,,,,,,,,,,,,,,
904,Battle of Fishes,André Masson,1926,"Battle of the Fishes perhaps references his experiences in WWI. He signed up to fight and after three years, was seriously injured, taking months to recover in an army hospital and spending time in a psychiatric facility. He was unable for many years to speak of the things he witnessed as a soldier, but his art consistently depicts massacres, bizarre confrontations, rape, and dismemberment. Masson himself observed that male figures in his art rarely escape unharmed. Battle of Fishes has subdued color, but the fish seem involved in a vicious battle to the death with their razor-like teeth and spilled blood. Masson believed that the use of chance in art would reveal the sadism of all creatures - an idea that he could only reveal in his art.","14 1/4 x 28 3/4""",73 x 36.2,73.025,36.195,28.75,14.25,,,,,,,,,,,,,,,
905,"Mama, Papa is Wounded!",Yves Tanguy,1927,"The most pivotal moment for Tanguy in his decision to become a painter was his sighting of a canvas by Giorgio de Chirico in a shop window in 1923. The next year, Tanguy, the poet Jacques Prévert, and the actor and screenwriter Marcel Duhamel moved into a house that was to become a gathering place for the Surrealists, a movement he became interested in after reading the periodical La Révolution surréaliste. André Breton welcomed him into the group in 1925. Tanguy was inspired by the biomorphic forms of Jean Arp, Ernst, and Miró, quickly developing his own vocabulary of amoeba-like shapes that populate arid, mysterious settings, no doubt influenced by his youthful travels to Argentina, Brazil, and Tunisia. Despite his lack of formal training, Tanguy's mature style emerged by 1927, characterized by deserted landscapes littered with fantastical rocklike objects painted with a precise illusionism. The works usually have an overcast sky with a view thatseems to stretch endlessly.","36 1/4 x 28 3/4""",73 x 92,73.025,92.075,28.75,36.25,,,,,,,,,,,,,,,
906,The Interpretation of Dreams (La Clef des songes),René Magritte,1927,N/A,14 15/16 × 21 5/8 in,54.9 x 37.9 ,54.9,37.9,21.61417323,14.92125984,,,,,,,,,,,,,,,
907,The Accommodations of Desire,Salvador Dalí,1929,"Painted in the summer of 1929 just after Dalí went to Paris for his first Surrealist exhibition, The Accommodations of Desire is a prime example of Dalí's ability to render his vivid and bizarre dreams with seemingly journalistic accuracy. He developed the paranoid-critical method, which involved systematic irrational thought and self-induced paranoia as a way to access his unconscious. He referred to the resulting works as ""hand-painted dream photographs"" because of their realism coupled with their eerie dream quality. The narrative of this work stems from Dalí's anxieties over his affair with Gala Eluard, wife of artist Paul Eluard. The lumpish white ""pebbles"" depict his insecurities about his future with Gala, circling around the concepts of terror and decay. While The Accommodations of Desire is an exposé of Dalí's deepest fears, it combines his typical hyper-realistic painting style with more experimental collage techniques. The lion heads are glued onto the canvas, and are believed to have been cut from a children's book.", 8 3/4 x 13 3/4 in. ,34.9 x 22.2,34.9,22.2,13.74015748,8.74015748,,,,,,,,,,,,,,,
908,El Somni (Le rêve),"Salvador Dalí

",1930,N/A,,96 x 96 ,96,96,37.79527559,14.88002976,,,,,,,,,,,,,,,
909,The Persistence of Memory,Salvador Dalí,1931,"Time is the theme here, from the melting watches to the decay implied by the swarming ants. The monstrous fleshy creature draped across the paintings center is an approximation of Dalís own face in profile. Mastering what he called ""the usual paralyzing tricks of eye-fooling,"" Dalí painted this work with ""the most imperialist fury of precision,"" but only, he said, ""to systematize confusion and thus to help discredit completely the world of reality."" There is, however, a nod to the real: The distant golden cliffs are those on the coast of Catalonia, Dalís home.",9.5 in × 13 in,33 x 24.1,33,24,12.99212598,9.448818898,,,,,,,,,,,,,,,
910,Frida and the Cesarean,Frida Kahlo,1931,"Frida and the Cesarean is an unfinished artwork that includes many of the themes that obsessed the painter, such as maternity, which was something she couldn't accomplish in her life. This work was created after her first abortion, after three months of pregnancy. Painting for Frida was like a physical and allegorical release of her sick condition and her constant passing by hospitals. She could transform pain into expression, as it is clear in this unfinished painting.

",,62 x 73,62,73,28.74015748,11.31502263,,,,,,,,,,,,,,,
911,Woman with a Flower,Pablo Picasso,1932,"By the mid 1920s, Picasso had become overbearingly famous. He did not like the fact that all of his work was always revered, simply because of his fame. He became frustrated and his marriage became strained, beginning a whirlwind of divorce, mistresses and illegitimate children. He took up sculpting at this time, and became highly influenced by newfound Surrealism after 1927. Surrealist influence can be seen in one of his best known paintings Woman with a Flower.",,130 x 162 ,130,162,63.77952756,25.11005022,,,,,,,,,,,,,,,
912,The Human Condition,René Magritte,1933,"Magritte's works tend to be intellectual, often dealing with visual puns and the relation between a representation and the thing itself. In The Human Condition a canvas sits on an easel before a curtained window and reproduces exactly the scene outside the window that would be behind the canvas, thus the image on the easel in a sense becomes the scene, not just a reproduction of the landscape. There is in effect no difference between the two as both are fabrications of the artist. The hyperrealist painting style often used by Surrealists makes the odd setup seem dreamlike.",39 in × 32 in,81 x 100 ,81,100,32,39,,,,,,,,,,,,,,,
913,"Soft Construction with Boiled Beans (Premonition of Civil War)
",Salvador Dalí,1936,"Soft Construction with Boiled Beans (Premonition of Civil War) (1936) is a painting by Spanish Surrealist Salvador Dalí. Dalí created this piece to represent the horrors of the Spanish Civil War. Painting this work only six months before the Spanish Civil War had begun, he claimed he was aware of the war in order to appear to have prophet-like abilities due to ""the prophetic power of his subconscious mind."" Dalí may have changed the name of the painting after the war in a manner of proving this prophetic quality, though it is not entirely certain.",39 5/16 x 39 3/8 inches ,99.9 x 100 ,99.9,100,39.33070866,39.37007874,,,,,,,,,,,,,,,
914,"The Philosopher's Lamp

",René Magritte,1936,"It displays a grotesque self-portrait in which Magritte's nose is distended like an elephant's trunk and flops down into the bowl of the pipe he is smoking, as if to suggest the depths of his own addiction. He looks at us sidelong, sadly, well aware how pathetic and impotent he looks. A worm-like candle burns limply on a console table before him. Unlike the surrealists, Magritte is a reluctant dreamer. He wants to stay wide awake and in control. He wants reality and reason to prevail, and for affinities to be found between objects: he was an admirer of Goethe's novel Elective Affinities. A yearning for simple truths lies at the heart of his prosaic, deliberate painting style. The creative tension in his work stems from his chronic inability to keep a lid on himself and the world.",,60 x 50,50,60,19.68503937,23.62204724,,,,,,,,,,,,,,,
915,The Satin Tuning Fork,Yves Tanguy,1940,"From then until his death in 1955, he focused on the same dreamlike subject-an imaginary landscape, deserted except for various fantastical rocklike objects, rendered with precise illusionism. Usually filled with an overcast sky, the plain below stretches toward infinity without an exact horizon line. If Tanguy's eerie vistas are pure invention, the three-dimensional, biomorphic objects that fill them may have their sources in early reliefs by Jean Arp and the paintings of 1922-23 by Joan Miró, two artists whose works were exhibited in Paris at the time. It is also possible that Tanguy was influenced by the strange stone and rock formations near Locronan in Brittany, where he sometimes visited his mother.",39 x 32 in.,81.3 x 99,81.28,99.06,32,39,,,,,,,,,,,,,,,
916,Deux Fois du Noir,Yves Tanguy,1941,"A self-taught artist, Yves Tanguy joined the Surrealist movement in his mid-twenties, associating himself with fellow artists such as Salvador Dali and Max Ernst. Born in France, Yves settled in the United States in 1939 and came to marry the American Surrealist painter, Kay Sage, the subsequent year. Tanguy favored imaginative complexities of line and color, creating enigmatic, dreamlike forms often executed with photographic clarity. Aesthetically, his work can be compared to that of Dali or Joan Miro, however his major formative influence was Giorgio de Chirico.

",21.1 x 29.1 in.,74 x 53.5,74,53.5,21.06299213,8.292516585,,,,,,,,,,,,,,,
917,Birthday,Dorothea Tanning,1942,"Birthday is a self-portrait that Dorothea Tanning painted to commemorate her 30th birthday. Viewed up close, one notices the infinite rooms recessing into the background, symbolizing Tanning's unconscious mind. Many Surrealists felt architectural imagery was well-suited to expressing notions of a labyrinthine self that changes and expands over time; Birthday is one of the best examples of this. Also notable is the gargoyle at the subject's feet. Tanning said this was her rendition of a lemur, which has been associated with death spirits. Tanning juxtaposed natural imagery, like the skirt made of roots, against objects representing high culture, like fancy apparel and interior design, to pay homage to culture as well as to express nature and wilderness as a feminine construct.",40 1/4 × 25 1/2 inches,64.8 x 102.2,64.77,102.235,25.5,40.25,,,,,,,,,,,,,,,
918,The Eye of Silence,Max Ernst,1943,"The Eye of Silence is a view of what appears to be a calm, reflective lake surrounded by green and brown shapes that simultaneously suggest foliage, stone ruins, and natural rock formations. In the right foreground sits a sphinx-like human figure; the background sky is filled with dark, ominous clouds. Marked by a frozen, poetic, even eerie sensibility, Ernst's painting is meant to be not direct or literal but provocative and suggestive, inciting investigation of symbols, imagery, and emotions stored in the human psyche that the imagery evokes. ","43 1/4 x 56 1/4 """,141 x 108,141,108,55.51181102,42.51968504,,,,,,,,,,,,,,,
919,Madonna,Salvador Dalí,1958,"Dalí's penchant for optical illusion and veiled iconography are evident in this painting. As seen from a distance, a rendition of Raphael's Sistine Madonna (after 1513; Gemäldegalerie Dresden) is situated within a gargantuan ear-a reference to the Passion of Christ. From close range, it is an abstract work composed of countless particle-like gray and pink dots, reflecting the artist's interest in nuclear physics.",88 7/8 × 75 1/4 in.,191.1 x 225.7,191.135,225.7425,75.25,88.875,,,,,,,,,,,,,,,
920,The Son of Man,René Magritte,1964,"Magritte painted The Son of Man as a self-portrait. The painting consists of a man in an overcoat and a bowler hat standing in front of a short wall, beyond which is the sea and a cloudy sky. The man's face is largely obscured by a hovering green apple. However, the man's eyes can be seen peeking over the edge of the apple. Another subtle feature is that the man's left arm appears to bend backwards at the elbow.",45.67 in × 35 in,88.9 x 116,88.9,116.0018,35,45.67,,,,,,,,,,,,,,,
1101,The City Rises,Umberto Boccioni,1910,"The City Rises is often considered to be the first Futurist painting. Here, Boccioni illustrates the construction of a modern city. The chaos and movement in the piece resemble a war scene as indeed war was presented in the Futurist Manifesto as the only means toward cultural progress. The large horse races into the foreground while several workers struggle to gain control, indicating tension between human and animal. The horse and figures are blurred, communicating rapid movement while other elements, such as the buildings in the background, are rendered more realistically. At the same time, the perspective teeters dramatically in different sections of the painting. The work shows influences of Cubism, Impressionism, and Post-Impressionism, revealed in the brushstrokes and fractured representation of space.", (78 in × 119 in),301 x 199,301,199,118.503937,78.34645669,,,,,,,,,,,,,,,
1102,Ciò che mi ha detto il tram,Carlo Carrà,1911,N/A,,67 x 52.5 ,67,52.5,26.37795276,20.66929134,,,,,,,,,,,,,,,
1103,Dynamism of a Dog on a Leash,Giacomo Balla,1912,"Balla was fascinated by chrono-photography, a vintage technique whereby movement is demonstrated across several frames. This encouraged Balla to find new ways of representing movement in painting, and Dynamism of a Dog on a Leash is perhaps his most famous experiment. The work shows a woman walking a small black dog, the movement collapsed into a single instant. Displaying a close-up of the feet, Balla articulates action in process by combining opaque and semi-transparent shapes.", (35.4 in × 43.2 in),109.8 x 89.8,109.8,89.8,43.22834646,35.35433071,,,,,,,,,,,,,,,
1104,Dynamic Hieroglyphic of the Bal Tabarin,Giacomo Balla,1912,,(63.6 x 61.5 in.),161.6 x 156.2  ,156.2,161.6,61.49606299,63.62204724,,,,,,,,,,,,,,,
1105,Elasticity(Elasticità),Umberto Boccioni,1912,Smoking factories' chimneys and electricity pylons in the background.,,100 x 100 ,100,100,39.37007874,39.37007874,,,,,,,,,,,,,,,
1106,The Cyclist,Natalia Goncharova,1913,"Goncharova was a leading figure in the pre-war Russian avant-garde, a painter, illustrator, set and costume designer, and writer. Wife of another leading Russian artist, Mikhail Larionov, she was a prominent figure in the Donkey's Tail group, who were important in spreading the influence of Cubo-Futurism in Russia. She was initially inspired by Russian folk art, and she often incorporated traditional motifs into pictures styled in a Cubist manner. Here, the cyclist's legs and feet have been multiplied, indicating the speed of an object in motion. As noted in the Futurist Manifesto, ""On account of the persistency of an image upon the retina, moving objects constantly multiply themselves; their form changes like rapid vibrations."" The text in the painting points to Goncharova's interest in writing and graphic design.",(30.7 × 41.3 in),105 x 78,78,105,30.70866142,41.33858268,,,,,,,,,,,,,,,
1107,North-South,Gino Severini,1913,N/A,,46 x 33 ,46,33,18.11023622,12.99212598,,,,,,,,,,,,,,,
